FID,OBJECTID,PNMM,Lat,Lon
0,1,-1.300000000000000,620890.099999999976717,9759824.000000000000000
1,2,-0.800000000000000,620922.400000000023283,9759843.199999999254942
2,3,-2.500000000000000,620911.400000000023283,9759824.800000000745058
3,4,-0.500000000000000,620894.099999999976717,9759792.400000000372529
4,5,-0.500000000000000,620937.300000000046566,9759809.199999999254942
5,6,-2.100000000000000,620926.199999999953434,9759791.400000000372529
6,7,-2.200000000000000,620928.300000000046566,9759761.400000000372529
7,8,-1.000000000000000,620960.900000000023283,9759769.800000000745058
8,9,-1.700000000000000,620964.500000000000000,9759732.199999999254942
9,10,-1.300000000000000,620993.500000000000000,9759743.400000000372529
10,13,-2.200000000000000,621029.699999999953434,9759691.199999999254942
11,14,-2.100000000000000,621052.400000000023283,9759705.300000000745058
12,15,-0.900000000000000,621072.300000000046566,9759710.199999999254942
13,16,-1.700000000000000,621062.199999999953434,9759675.199999999254942
14,17,-3.000000000000000,621082.500000000000000,9759678.000000000000000
15,18,-0.500000000000000,621091.000000000000000,9759700.000000000000000
16,19,-1.400000000000000,621102.599999999976717,9759682.900000000372529
17,21,-0.600000000000000,621123.099999999976717,9759677.099999999627471
18,22,-2.000000000000000,621112.400000000023283,9759643.199999999254942
19,23,-1.300000000000000,621120.099999999976717,9759623.400000000372529
20,24,-0.800000000000000,621152.000000000000000,9759649.000000000000000
21,25,-1.300000000000000,621154.800000000046566,9759628.099999999627471
22,26,-0.700000000000000,621122.199999999953434,9759600.099999999627471
23,27,-0.500000000000000,621122.199999999953434,9759568.900000000372529
24,28,-1.400000000000000,621141.800000000046566,9759573.800000000745058
25,29,-1.100000000000000,621167.900000000023283,9759570.599999999627471
26,30,-2.200000000000000,621149.900000000023283,9759552.099999999627471
27,31,-0.800000000000000,621131.300000000046566,9759543.599999999627471
28,32,-0.900000000000000,621129.099999999976717,9759523.400000000372529
29,33,-2.200000000000000,621149.099999999976717,9759523.900000000372529
30,34,-1.000000000000000,621171.199999999953434,9759508.800000000745058
31,35,-2.900000000000000,621150.599999999976717,9759498.599999999627471
32,36,-1.500000000000000,621131.099999999976717,9759490.400000000372529
33,37,-0.600000000000000,621126.099999999976717,9759470.099999999627471
34,38,-2.900000000000000,621150.300000000046566,9759468.300000000745058
35,39,-0.700000000000000,621171.599999999976717,9759457.900000000372529
36,40,-2.600000000000000,621147.099999999976717,9759438.500000000000000
37,42,-2.600000000000000,621169.099999999976717,9759423.599999999627471
38,44,-0.700000000000000,621160.699999999953434,9759378.099999999627471
39,45,-2.500000000000000,621184.300000000046566,9759395.400000000372529
40,46,-1.500000000000000,621205.900000000023283,9759381.199999999254942
41,47,-0.500000000000000,621181.900000000023283,9759358.099999999627471
42,48,-3.900000000000000,621202.800000000046566,9759357.900000000372529
43,50,-2.700000000000000,621222.699999999953434,9759346.300000000745058
44,51,-1.600000000000000,621251.699999999953434,9759357.699999999254942
45,52,-2.100000000000000,621270.300000000046566,9759350.099999999627471
46,53,-1.200000000000000,621277.400000000023283,9759322.800000000745058
47,54,-4.000000000000000,621295.599999999976717,9759336.300000000745058
48,56,-3.300000000000000,621318.800000000046566,9759319.900000000372529
49,58,-3.000000000000000,621344.300000000046566,9759315.099999999627471
50,59,-0.900000000000000,621362.400000000023283,9759325.300000000745058
51,60,-2.800000000000000,621365.500000000000000,9759303.599999999627471
52,62,-2.600000000000000,621393.099999999976717,9759301.099999999627471
53,63,-0.900000000000000,621410.199999999953434,9759312.900000000372529
54,64,-2.600000000000000,621413.599999999976717,9759292.099999999627471
55,65,-2.200000000000000,621418.800000000046566,9759262.500000000000000
56,66,-2.700000000000000,621435.800000000046566,9759287.800000000745058
57,67,-0.800000000000000,621448.000000000000000,9759304.500000000000000
58,68,-1.500000000000000,621465.199999999953434,9759293.500000000000000
59,70,-3.400000000000000,621487.500000000000000,9759262.900000000372529
60,71,-1.600000000000000,621494.099999999976717,9759282.199999999254942
61,72,-2.800000000000000,621511.900000000023283,9759271.000000000000000
62,74,-1.200000000000000,621520.699999999953434,9759229.900000000372529
63,75,-3.100000000000000,621534.400000000023283,9759252.900000000372529
64,76,-0.800000000000000,621546.099999999976717,9759272.800000000745058
65,77,-3.000000000000000,621561.000000000000000,9759258.300000000745058
66,78,-2.800000000000000,621556.099999999976717,9759234.099999999627471
67,79,-1.300000000000000,621567.199999999953434,9759215.900000000372529
68,80,-2.900000000000000,621579.099999999976717,9759236.300000000745058
69,81,-2.200000000000000,621597.699999999953434,9759253.900000000372529
70,82,-3.000000000000000,621605.400000000023283,9759230.099999999627471
71,83,-1.800000000000000,621604.800000000046566,9759207.900000000372529
72,84,-1.300000000000000,621624.800000000046566,9759197.400000000372529
73,85,-2.900000000000000,621630.900000000023283,9759218.400000000372529
74,86,-1.200000000000000,621641.000000000000000,9759245.300000000745058
75,87,-3.000000000000000,621657.900000000023283,9759233.500000000000000
76,88,-2.900000000000000,621652.800000000046566,9759205.699999999254942
77,89,-1.000000000000000,621664.800000000046566,9759187.000000000000000
78,90,-3.000000000000000,621673.900000000023283,9759215.900000000372529
79,91,-2.000000000000000,621680.900000000023283,9759236.800000000745058
80,93,-2.600000000000000,621706.199999999953434,9759221.400000000372529
81,95,-2.400000000000000,621734.400000000023283,9759220.099999999627471
82,97,-2.700000000000000,621752.800000000046566,9759210.599999999627471
83,98,-1.200000000000000,621761.199999999953434,9759231.199999999254942
84,100,-2.700000000000000,621782.000000000000000,9759211.199999999254942
85,102,-2.500000000000000,621807.599999999976717,9759207.400000000372529
86,103,-0.300000000000000,621815.500000000000000,9759226.300000000745058
87,104,-1.000000000000000,621835.500000000000000,9759210.900000000372529
88,105,-3.700000000000000,621829.099999999976717,9759186.400000000372529
89,107,-3.400000000000000,621853.099999999976717,9759179.400000000372529
90,108,-3.400000000000000,621853.800000000046566,9759202.500000000000000
91,109,-0.500000000000000,621858.000000000000000,9759231.699999999254942
92,111,-4.900000000000000,621879.000000000000000,9759223.099999999627471
93,112,-5.600000000000000,621876.000000000000000,9759187.599999999627471
94,113,-3.000000000000000,621873.900000000023283,9759166.099999999627471
95,114,-1.400000000000000,621887.099999999976717,9759150.300000000745058
96,115,-6.100000000000000,621902.900000000023283,9759207.400000000372529
97,116,-1.000000000000000,621899.900000000023283,9759292.800000000745058
98,117,-2.100000000000000,621887.800000000046566,9759276.500000000000000
99,118,-1.000000000000000,621930.699999999953434,9759282.099999999627471
100,119,-2.500000000000000,621923.099999999976717,9759260.599999999627471
101,120,-2.900000000000000,621923.699999999953434,9759238.900000000372529
102,121,-3.400000000000000,621921.500000000000000,9759217.099999999627471
